Date,Month,Year,Opponent,Result,Series,Notes,,,,,
20,Mar,2011,West Indies,W,ICC Cricket WorldCup,,,,,,
6,June,2011,West Indies,W,India Tour of West Indies,,,,,,
8,June,2011,West Indies,W,India Tour of West Indies,,,,,,
11,June,2011,West Indies,W,India Tour of West Indies,,,,,,25.7
13,June,2011,West Indies,L,India Tour of West Indies,,,,,,26
16,June,2011,West Indies,L,India Tour of West Indies,,,,,,
29,Nov,2011,West Indies,W,West Indies tour of India,,,,,,
2,Dec,2011,West Indies,W,West Indies tour of India,,,,,,
5,Dec,2011,West Indies,L,West Indies tour of India,,,,,,
8,Dec,2011,West Indies,W,West Indies tour of India,,,,,,
11,Dec,2011,West Indies,W,West Indies tour of India,,,,,,
11,June,2013,West Indies,W,ICC Champions Trophy,,,,,,
30,June,2013,West Indies,L,West Indies Tri-Nation Series,,,,,,
5,July,2013,West Indies,W,West Indies Tri-Nation Series,,,,,,
21,Nov,2013,West Indies,W,West Indies tour of India,,,,,,
24,Nov,2013,West Indies,L,West Indies tour of India,,,,,,
27,Nov,2013,West Indies,W,West Indies tour of India,,,,,,
8,Oct,2014,West Indies,L,West Indies tour of India,,,,,,
11,Oct,2014,West Indies,W,West Indies tour of India,,,,,,
17,Oct,2014,West Indies,W,West Indies tour of India,,,,,,
6,Mar,2015,West Indies,W,ICC Cricket WorldCup,,,,,,
25,June,2017,West Indies,W,India Tour of West Indies,,,,,,
30,June,2017,West Indies,W,India Tour of West Indies,,,,,,
2,July,2017,West Indies,L,India Tour of West Indies,,,,,,
6,July,2017,West Indies,W,India Tour of West Indies,,,,,,
21,Oct,2018,West Indies,W,West Indies tour of India,,,,,,
27,Oct,2018,West Indies,L,West Indies tour of India,,,,,,
29,Oct,2018,West Indies,W,West Indies tour of India,,,,,,
1,Nov,2018,West Indies,W,West Indies tour of India,,,,,,
27,June,2019,West Indies,W,ICC Cricket WorldCup,,,,,,
11,Aug,2019,West Indies,W,India Tour of West Indies,,,,,,
14,Aug,2019,West Indies,W,India Tour of West Indies,D/L Method,,,,,
15,Dec,2019,West Indies,L,West Indies tour of India,,,,,,
18,Dec,2019,West Indies,W,West Indies tour of India,,,,,,
22,Dec,2019,West Indies,W,West Indies tour of India,,,,,,
