Ball,Runs,Cumulated runs,Balls
0.1,0,0,1
0.2,0,0,2
0.3,0,0,3
0.4,1,1,4
0.5,0,1,5
0.6,0,1,6
1.1,0,1,7
1.2,0,1,8
1.3,0,1,9
1.4,4,5,10
1.5,0,5,11
1.6,4,9,12
2.1,0,9,13
2.2,0,9,14
2.3,0,9,15
2.4,1,10,16
2.5,4,14,17
2.6,2,16,18
3.1,0,16,19
3.2,0,16,20
3.3,0,16,21
3.4,0,16,22
3.5,0,16,23
3.6,0,16,24
4.1,0,16,25
4.2,0,16,26
4.3,0,16,27
4.4,0,16,28
4.5,1,17,29
4.6,1,18,30
5.1,0,18,31
5.2,5,23,32
5.3,0,23,33
5.4,0,23,34
5.5,1,24,35
5.6,0,24,36
6.1,0,24,37
6.2,0,24,38
6.3,2,26,39
6.4,0,26,40
6.5,2,28,41
6.6,0,28,42
7.1,0,28,43
7.2,0,28,44
7.3,2,30,45
7.4,4,34,46
7.5,0,34,47
7.6,0,34,48
8.1,0,34,49
8.2,1,35,50
8.3,0,35,51
8.4,1,36,52
8.5,1,37,53
8.6,1,38,54
9.1,1,39,55
9.2,0,39,56
9.3,,39,57
9.4,1,40,58
9.5,0,40,59
9.6,0,40,60
10.1,0,40,61
10.2,4,44,62
10.3,0,44,63
10.4,1,45,64
10.5,1,46,65
10.6,1,47,66
11.1,4,51,67
11.2,0,51,68
11.3,1,52,69
11.4,0,52,70
11.5,0,52,71
11.6,1,53,72
12.1,4,57,73
12.2,0,57,74
12.3,0,57,75
12.4,2,59,76
12.5,0,59,77
12.6,0,59,78
13.1,4,63,79
13.2,1,64,80
13.3,0,64,81
13.4,0,64,82
13.5,1,65,83
13.6,4,69,84
14.1,0,69,85
14.2,1,70,86
14.3,1,71,87
14.4,0,71,88
14.5,1,72,89
14.6,1,73,90
15.1,1,74,91
15.2,,74,92
15.3,0,74,93
15.4,0,74,94
15.5,0,74,95
15.6,1,75,96
16.1,1,76,97
16.2,1,77,98
16.3,1,78,99
16.4,0,78,100
16.5,1,79,101
16.6,0,79,102
17.1,1,80,103
17.2,0,80,104
17.3,2,82,105
17.4,1,83,106
17.5,4,87,107
17.6,1,88,108
18.1,0,88,109
18.2,0,88,110
18.3,1,89,111
18.4,4,93,112
18.5,4,97,113
18.6,1,98,114
19.1,1,99,115
19.2,0,99,116
19.3,2,101,117
19.4,1,102,118
19.5,1,103,119
19.6,1,104,120
20.1,0,104,121
20.2,0,104,122
20.3,0,104,123
20.4,1,105,124
20.5,1,106,125
20.6,1,107,126
21.1,4,111,127
21.2,1,112,128
21.3,1,113,129
21.4,1,114,130
21.5,1,115,131
21.6,1,116,132
22.1,0,116,133
22.2,1,117,134
22.3,0,117,135
22.4,4,121,136
22.5,0,121,137
22.6,,121,138
23.1,1,122,139
23.2,0,122,140
23.3,0,122,141
23.4,1,123,142
23.5,1,124,143
23.6,1,125,144
24.1,0,125,145
24.2,0,125,146
24.3,1,126,147
24.4,0,126,148
24.5,0,126,149
24.6,1,127,150
25.1,1,128,151
25.2,1,129,152
25.3,1,130,153
25.4,0,130,154
25.5,2,132,155
25.6,1,133,156
26.1,2,135,157
26.2,0,135,158
26.3,2,137,159
26.4,0,137,160
26.5,2,139,161
26.6,0,139,162
27.1,0,139,163
27.2,0,139,164
27.3,1,140,165
27.4,1,141,166
27.5,4,145,167
27.6,2,147,168
28.1,1,148,169
28.2,1,149,170
28.3,1,150,171
28.4,1,151,172
28.5,2,153,173
28.6,2,155,174
29.1,0,155,175
29.2,6,161,176
29.3,0,161,177
29.4,,161,178
29.5,1,162,179
29.6,0,162,180
30.1,0,162,181
30.2,1,163,182
30.3,4,167,183
30.4,0,167,184
30.5,1,168,185
30.6,0,168,186
31.1,0,168,187
31.2,1,169,188
31.3,1,170,189
31.4,0,170,190
31.5,1,171,191
31.6,0,171,192
32.1,1,172,193
32.2,,172,194
32.3,4,176,195
32.4,0,176,196
32.5,0,176,197
32.6,0,176,198
33.1,1,177,199
33.2,0,177,200
33.3,1,178,201
33.4,0,178,202
33.5,,178,203
33.6,0,178,204
34.1,0,178,205
34.2,0,178,206
34.3,1,179,207
34.4,1,180,208
34.5,0,180,209
34.6,1,181,210
35.1,1,182,211
35.2,4,186,212
35.3,2,188,213
35.4,0,188,214
