Ball,Runs,Cumulated runs,Balls
0.1,0,0,1
0.2,0,0,2
0.3,1,1,3
0.4,1,2,4
0.5,0,2,5
0.6,1,3,6
1.1,0,3,7
1.2,1,4,8
1.3,0,4,9
1.4,0,4,10
1.5,0,4,11
1.6,0,4,12
2.1,1,5,13
2.2,0,5,14
2.3,0,5,15
2.4,1,6,16
2.5,4,10,17
2.6,0,10,18
3.1,0,10,19
3.2,0,10,20
3.3,0,10,21
3.4,0,10,22
3.5,1,11,23
3.6,0,11,24
4.1,2,13,25
4.2,0,13,26
4.3,0,13,27
4.4,0,13,28
4.5,0,13,29
4.6,0,13,30
5.1,0,13,31
5.2,0,13,32
5.3,0,13,33
5.4,0,13,34
5.5,1,14,35
5.6,0,14,36
6.1,0,14,37
6.2,0,14,38
6.3,0,14,39
6.4,0,14,40
6.5,0,14,41
6.6,0,14,42
7.1,0,14,43
7.2,0,14,44
7.3,6,20,45
7.4,4,24,46
7.5,0,24,47
7.6,5,29,48
8.1,0,29,49
8.2,0,29,50
8.3,0,29,51
8.4,0,29,52
8.5,0,29,53
8.6,2,31,54
9.1,1,32,55
9.2,1,33,56
9.3,0,33,57
9.4,0,33,58
9.5,0,33,59
9.6,1,34,60
10.1,0,34,61
10.2,0,34,62
10.3,0,34,63
10.4,1,35,64
10.5,0,35,65
10.6,1,36,66
11.1,1,37,67
11.2,0,37,68
11.3,0,37,69
11.4,1,38,70
11.5,0,38,71
11.6,1,39,72
12.1,1,40,73
12.2,1,41,74
12.3,1,42,75
12.4,1,43,76
12.5,0,43,77
12.6,1,44,78
13.1,1,45,79
13.2,0,45,80
13.3,1,46,81
13.4,1,47,82
13.5,0,47,83
13.6,0,47,84
14.1,1,48,85
14.2,0,48,86
14.3,1,49,87
14.4,0,49,88
14.5,1,50,89
14.6,0,50,90
15.1,0,50,91
15.2,4,54,92
15.3,0,54,93
15.4,0,54,94
15.5,0,54,95
15.6,0,54,96
16.1,4,58,97
16.2,1,59,98
16.3,1,60,99
16.4,0,60,100
16.5,1,61,101
16.6,1,62,102
17.1,1,63,103
17.2,0,63,104
17.3,0,63,105
17.4,0,63,106
17.5,2,65,107
17.6,0,65,108
18.1,0,65,109
18.2,0,65,110
18.3,1,66,111
18.4,0,66,112
18.5,2,68,113
18.6,0,68,114
19.1,4,72,115
19.2,0,72,116
19.3,0,72,117
19.4,1,73,118
19.5,4,77,119
19.6,0,77,120
20.1,0,77,121
20.2,1,78,122
20.3,1,79,123
20.4,1,80,124
20.5,1,81,125
20.6,0,81,126
21.1,0,81,127
21.2,0,81,128
21.3,0,81,129
21.4,0,81,130
21.5,0,81,131
21.6,0,81,132
22.1,0,81,133
22.2,6,87,134
22.3,0,87,135
22.4,0,87,136
22.5,1,88,137
22.6,2,90,138
23.1,0,90,139
23.2,0,90,140
23.3,0,90,141
23.4,0,90,142
23.5,0,90,143
23.6,1,91,144
24.1,0,91,145
24.2,2,93,146
24.3,0,93,147
24.4,0,93,148
24.5,0,93,149
24.6,1,94,150
25.1,2,96,151
25.2,0,96,152
25.3,0,96,153
25.4,0,96,154
25.5,4,100,155
25.6,1,101,156
26.1,1,102,157
26.2,4,106,158
26.3,1,107,159
26.4,1,108,160
26.5,4,112,161
26.6,0,112,162
27.1,0,112,163
27.2,1,113,164
27.3,0,113,165
27.4,1,114,166
27.5,0,114,167
27.6,0,114,168
28.1,1,115,169
28.2,0,115,170
28.3,0,115,171
28.4,3,118,172
28.5,4,122,173
28.6,0,122,174
29.1,0,122,175
29.2,1,123,176
29.3,0,123,177
29.4,4,127,178
29.5,0,127,179
29.6,1,128,180
30.1,4,132,181
30.2,0,132,182
30.3,1,133,183
30.4,1,134,184
30.5,2,136,185
30.6,2,138,186
31.1,0,138,187
31.2,0,138,188
31.3,0,138,189
31.4,0,138,190
31.5,0,138,191
31.6,0,138,192
32.1,1,139,193
32.2,1,140,194
32.3,0,140,195
32.4,2,142,196
32.5,0,142,197
32.6,0,142,198
33.1,0,142,199
33.2,0,142,200
33.3,0,142,201
33.4,1,143,202
33.5,1,144,203
33.6,0,144,204
34.1,1,145,205
34.2,1,146,206
34.3,1,147,207
34.4,1,148,208
34.5,1,149,209
34.6,0,149,210
35.1,1,150,211
35.2,1,151,212
35.3,0,151,213
