Ball,Runs,Cumulated runs,Balls
0.1,1,1,1
0.2,1,2,2
0.3,0,2,3
0.4,0,2,4
0.5,0,2,5
0.6,0,2,6
1.1,2,4,7
1.2,0,4,8
1.3,4,8,9
1.4,1,9,10
1.5,4,13,11
1.6,1,14,12
2.1,4,18,13
2.2,0,18,14
2.3,4,22,15
2.4,0,22,16
2.5,1,23,17
2.6,4,27,18
3.1,0,27,19
3.2,0,27,20
3.3,1,28,21
3.4,0,28,22
3.5,0,28,23
3.6,0,28,24
4.1,1,29,25
4.2,1,30,26
4.3,1,31,27
4.4,4,35,28
4.5,4,39,29
4.6,1,40,30
5.1,4,44,31
5.2,0,44,32
5.3,0,44,33
5.4,0,44,34
5.5,0,44,35
5.6,4,48,36
6.1,0,48,37
6.2,1,49,38
6.3,0,49,39
6.4,0,49,40
6.5,1,50,41
6.6,1,51,42
7.1,0,51,43
7.2,0,51,44
7.3,0,51,45
7.4,0,51,46
7.5,1,52,47
7.6,0,52,48
8.1,0,52,49
8.2,0,52,50
8.3,0,52,51
8.4,0,52,52
8.5,0,52,53
8.6,0,52,54
9.1,1,53,55
9.2,1,54,56
9.3,0,54,57
9.4,1,55,58
9.5,0,55,59
9.6,4,59,60
10.1,1,60,61
10.2,0,60,62
10.3,1,61,63
10.4,0,61,64
10.5,4,65,65
10.6,0,65,66
11.1,0,65,67
11.2,1,66,68
11.3,1,67,69
11.4,1,68,70
11.5,1,69,71
11.6,2,71,72
12.1,0,71,73
12.2,0,71,74
12.3,4,75,75
12.4,1,76,76
12.5,1,77,77
12.6,0,77,78
13.1,1,78,79
13.2,0,78,80
13.3,0,78,81
13.4,0,78,82
13.5,1,79,83
13.6,0,79,84
14.1,1,80,85
14.2,1,81,86
14.3,0,81,87
14.4,0,81,88
14.5,0,81,89
14.6,0,81,90
15.1,1,82,91
15.2,0,82,92
15.3,1,83,93
15.4,0,83,94
15.5,0,83,95
15.6,0,83,96
16.1,6,89,97
16.2,0,89,98
16.3,6,95,99
16.4,1,96,100
16.5,0,96,101
16.6,1,97,102
17.1,0,97,103
17.2,0,97,104
17.3,1,98,105
17.4,1,99,106
17.5,0,99,107
17.6,0,99,108
18.1,1,100,109
18.2,0,100,110
18.3,2,102,111
18.4,1,103,112
18.5,0,103,113
18.6,0,103,114
19.1,0,103,115
19.2,1,104,116
19.3,0,104,117
19.4,4,108,118
19.5,0,108,119
19.6,1,109,120
20.1,0,109,121
20.2,0,109,122
20.3,0,109,123
20.4,4,113,124
20.5,1,114,125
20.6,0,114,126
21.1,2,116,127
21.2,0,116,128
21.3,1,117,129
21.4,0,117,130
21.5,2,119,131
21.6,1,120,132
22.1,1,121,133
22.2,2,123,134
22.3,4,127,135
22.4,6,133,136
22.5,0,133,137
22.6,4,137,138
23.1,0,137,139
23.2,2,139,140
23.3,1,140,141
23.4,1,141,142
23.5,0,141,143
23.6,0,141,144
24.1,2,143,145
24.2,4,147,146
24.3,2,149,147
24.4,2,151,148
24.5,1,152,149
24.6,0,152,150
25.1,0,152,151
25.2,0,152,152
25.3,0,152,153
25.4,4,156,154
25.5,0,156,155
25.6,4,160,156
26.1,2,162,157
26.2,2,164,158
26.3,4,168,159
26.4,1,169,160
26.5,4,173,161
26.6,1,174,162
27.1,0,174,163
27.2,1,175,164
27.3,1,176,165
27.4,1,177,166
27.5,0,177,167
27.6,0,177,168
28.1,1,178,169
28.2,1,179,170
28.3,0,179,171
28.4,0,179,172
28.5,0,179,173
28.6,4,183,174
29.1,1,184,175
29.2,1,185,176
29.3,0,185,177
29.4,2,187,178
29.5,2,189,179
29.6,0,189,180
30.1,,189,181
30.2,0,189,182
30.3,0,189,183
30.4,0,189,184
30.5,4,193,185
30.6,1,194,186
31.1,0,194,187
31.2,1,195,188
31.3,0,195,189
31.4,1,196,190
31.5,0,196,191
31.6,0,196,192
32.1,0,196,193
32.2,0,196,194
32.3,1,197,195
32.4,1,198,196
32.5,4,202,197
32.6,1,203,198
33.1,1,204,199
33.2,0,204,200
33.3,1,205,201
33.4,1,206,202
33.5,0,206,203
33.6,1,207,204
34.1,1,208,205
34.2,1,209,206
34.3,2,211,207
34.4,0,211,208
34.5,0,211,209
34.6,0,211,210
35.1,0,211,211
35.2,1,212,212
35.3,0,212,213
35.4,1,213,214
35.5,0,213,215
35.6,1,214,216
36.1,1,215,217
36.2,1,216,218
36.3,1,217,219
36.4,1,218,220
36.5,2,220,221
36.6,1,221,222
37.1,0,221,223
37.2,0,221,224
37.3,1,222,225
37.4,0,222,226
37.5,0,222,227
37.6,0,222,228
38.1,1,223,229
38.2,4,227,230
38.3,1,228,231
38.4,1,229,232
38.5,1,230,233
38.6,0,230,234
39.1,2,232,235
39.2,1,233,236
39.3,0,233,237
39.4,0,233,238
39.5,1,234,239
39.6,0,234,240
40.1,4,238,241
40.2,4,242,242
40.3,1,243,243
40.4,0,243,244
40.5,1,244,245
40.6,,244,246
41.1,4,248,247
41.2,1,249,248
41.3,4,253,249
41.4,0,253,250
41.5,,253,251
41.6,1,254,252
42.1,1,255,253
42.2,2,257,254
42.3,1,258,255
42.4,1,259,256
42.5,1,260,257
42.6,4,264,258
43.1,0,264,259
43.2,1,265,260
43.3,1,266,261
